feature,mean_abs_shap
mordred.AATS3i,0.08758835118665656
mordred.ATSC3s,0.02147052622455241
mordred.VR3_A,0.020008247080166984
mordred.ATSC6dv,0.013082551000937926
mordred.ATSC4d,0.0073315868218442
mordred.SpAbs_A,0.007090687649974735
mordred.AMID_N,0.005115551700544249
mordred.ATS5s,0.0037474475626323163
mordred.nBase,0.0033259723405878235
mordred.SdO,0.0027828278854203567
mordred.ATSC3se,0.0026790141544952508
ge.DUSP6,0.0026155928489321016
ge.TESK1,0.001820310058228918
mordred.MATS3s,0.0015402413069161764
ge.ORC1,0.001536178052360224
mordred.VR1_A,0.0014768977165222704
ge.DNAJB2,0.0014008165194810789
mordred.ATSC1d,0.001271916279505863
ge.SESN1,0.0011471913440099651
ge.MAP3K4,0.0010877784196820185
ge.PSMD10,0.001052190009038859
ge.PPP1R13B,0.0010404577256711198
ge.PPIC,0.001037054940637528
ge.LIG1,0.0009463638729868954
ge.PTPRK,0.0009301880506732693
